Cust_ID,Target,Age,Gender,Balance,Occupation,No_OF_CR_TXNS,SCR,Holding_Period
C10055,0,49,O,9864.65,SELF-EMP,41,193,23
C10056,1,51,O,4972.97,PROF,49,938,1
C10057,0,51,O,5445.04,PROF,2,646,6
C10058,0,47,O,7223.2,PROF,14,245,21
C10059,1,43,O,575.13,PROF,0,763,8
C1006,1,45,M,39115.88,PROF,25,141,18
C10060,0,43,O,9715.45,PROF,37,595,31
C10061,0,52,F,14503.67,SAL,27,578,23
C10062,1,45,F,8363.78,SAL,38,255,14
C10063,1,32,F,5294.85,SAL,50,270,27
C10064,0,52,F,67561.97,PROF,7,385,6
C10065,0,51,F,229658.69,PROF,42,310,5
C10066,1,30,F,6340.06,PROF,2,469,9
C10067,0,46,F,179052.66,PROF,7,250,20
C10068,1,28,F,20765.28,PROF,23,818,3
C10069,1,39,F,77940.42,SAL,4,165,12
C1007,1,48,M,66365.59,PROF,6,879,14
C10070,1,40,F,34143.33,PROF,32,238,15
C10071,0,34,F,20592.72,SAL,45,861,5
C10072,1,47,F,20412.87,SAL,38,410,9
C10073,1,37,F,101596.71,SAL,44,305,9
C10074,0,42,F,52712.64,PROF,34,190,25
C10075,1,41,F,232346.18,SAL,43,875,27
C10076,1,55,F,14021.5,PROF,50,661,27
C10077,1,54,F,4243.01,PROF,7,290,16
C10078,1,42,F,6235.11,SELF-EMP,21,543,23
C10079,1,43,F,217180.8,SAL,29,590,28
C1008,1,39,M,97264.67,PROF,17,854,14
C10080,1,34,F,80811.59,SELF-EMP,41,825,5
C10081,1,30,F,47391.7,PROF,0,979,1
C10082,1,47,F,211587.46,SAL,31,544,27
C10083,0,41,F,246269.73,SAL,5,418,10
C10084,0,42,F,157756.37,PROF,12,269,5
C10085,1,55,F,205227.55,SAL,22,672,9
C10086,1,36,F,107010.61,SENP,24,397,18
C10087,1,43,F,205227.55,PROF,23,965,4
C10088,1,46,F,34049.77,PROF,22,737,16
C10089,0,32,F,87067.12,SAL,2,955,7
C1009,1,26,M,919.74,PROF,38,327,18
C10090,0,38,F,4820.78,SAL,34,340,5
C10091,1,38,F,41111.36,SAL,28,205,13
C10092,0,53,F,44633.89,SAL,9,620,21
C10093,1,44,F,2736.14,SAL,10,348,14
C10094,1,28,F,80198.06,SELF-EMP,9,115,11
C10095,0,35,F,36145.76,SELF-EMP,42,588,19
C10096,1,43,F,27254.78,SAL,26,575,9
C10097,1,30,F,79738.08,SAL,13,179,27
C10098,1,46,F,77963.2,SAL,3,966,3
C10099,1,34,F,79762.01,SAL,6,624,27
C101,0,50,F,182094.26,SAL,39,674,22
C1010,1,48,M,45233.04,PROF,34,855,11
C10100,0,49,F,60849.26,PROF,49,153,19
C10101,0,50,F,182094.26,SAL,39,223,4
C10102,0,49,F,104133.75,PROF,34,577,19
C10103,1,40,F,212089.48,PROF,50,482,28
C10104,0,41,F,212521.94,PROF,39,234,21
C10105,0,32,F,7711.68,PROF,36,845,28
C10106,0,49,F,194768.49,PROF,24,629,28
C10107,1,49,F,11564.93,PROF,2,526,13
C10108,0,52,F,126216.23,PROF,8,631,28
C10109,0,48,F,52066.01,PROF,31,319,21
C1011,1,51,M,49050.35,SAL,31,965,16
C10110,1,51,F,12685.91,SAL,23,710,11
C10111,1,40,F,31390.69,PROF,39,187,9
C10112,0,48,F,15360.49,SELF-EMP,30,648,26
C10113,1,49,F,16957.2,SAL,40,375,3
C10114,1,41,F,86120.26,PROF,10,528,13
C10115,0,31,F,21496.29,PROF,7,906,10
C10116,0,49,F,152437.8,PROF,25,808,28
C10117,1,25,F,36007.82,SAL,45,963,17
C10118,0,50,F,29448,PROF,3,213,31
C10119,0,31,F,10846.55,SAL,18,288,22
C1012,1,33,M,18465.89,SAL,45,214,13
C10120,1,47,F,27247.08,SELF-EMP,11,338,1
C10121,0,52,F,7507.37,SAL,43,368,19
C10122,1,54,F,243324.6,SAL,38,972,25
C10123,0,33,F,65830.34,PROF,7,811,22
C10124,1,33,F,4563.4,SAL,26,184,9
C10125,1,44,F,89058.99,PROF,36,300,6
C10126,1,36,F,38721.74,SENP,21,864,1
C10127,1,29,F,50949.27,PROF,29,629,14
C10128,1,49,F,82901.14,PROF,26,866,1
C10129,1,43,F,36006.29,PROF,23,424,18
C1013,1,29,M,32980.8,SAL,14,327,16
C10130,0,54,F,13044.58,SAL,37,555,10
C10131,0,34,M,7557.73,SAL,6,195,5
C10132,0,38,M,59186.07,PROF,20,667,22
C10133,0,33,M,27597.86,SAL,1,809,27
C10134,0,47,M,93507.65,PROF,24,572,28
C10135,1,25,M,98275.21,SAL,30,649,1
C10136,1,48,M,120369.84,PROF,25,683,23
C10137,1,28,M,88104.12,PROF,38,682,13
C10138,1,25,M,60831.25,PROF,38,925,3
C10139,1,45,M,22461.34,SAL,40,785,9
C1014,1,36,M,9423.58,PROF,12,463,17
C10140,1,46,M,13648.4,SAL,1,997,25
C10141,0,49,M,185636.01,SAL,37,574,29
C10142,0,33,F,13113.7,SAL,5,474,28
C10143,1,42,F,10192.41,SAL,7,657,14
C10144,1,38,F,212521.94,SAL,46,829,23
C10145,1,53,F,14826.07,SAL,31,103,15
C10146,1,53,F,53135.54,SAL,36,127,9
C10147,0,52,F,111715.02,PROF,13,201,25
C10148,0,44,F,13497.03,PROF,27,362,5
C10149,0,54,F,4621.28,SAL,31,873,31
C1015,1,52,M,96824.13,PROF,32,573,6
C10150,0,33,F,8669.5,SAL,25,536,31
C10151,0,44,F,11821.84,PROF,43,228,27
C10152,1,28,F,38269.59,SAL,14,700,15
C10153,0,30,F,54704.88,PROF,50,374,2
C10154,1,53,F,72814.87,SAL,31,723,15
C10155,1,47,F,138396.37,PROF,35,864,1
C10156,0,37,F,27059.6,PROF,14,700,21
C10157,1,25,F,25505.61,SAL,13,100,17
C10158,0,47,F,172872.43,SAL,3,449,28
C10159,1,37,F,125523.92,SAL,24,327,4
C1016,1,41,M,7393.71,SAL,14,789,6
C10160,1,47,F,199423.86,PROF,21,472,8
C10161,1,28,F,59254.63,PROF,13,302,18
C10162,1,28,F,58897.12,SELF-EMP,16,425,15
C10163,1,45,F,212521.94,SAL,5,236,12
C10164,1,53,F,5686.27,PROF,45,465,13
C10165,1,47,F,212521.94,SELF-EMP,44,332,15
C10166,1,29,F,201181.89,SELF-EMP,18,729,7
C10167,1,34,F,6879.73,SELF-EMP,12,959,14
C10168,1,23,F,32728.36,SAL,33,784,2
C10169,0,34,F,667325.08,PROF,37,238,19
C1017,1,37,M,4241.31,SAL,49,506,2
C10170,1,33,F,245500,PROF,38,753,31
C10171,1,33,F,100647.62,PROF,27,687,1
C10172,0,28,F,554538.52,SAL,0,262,25
C10173,1,33,M,79132.83,PROF,48,860,13
C10174,0,34,M,589630.3,SAL,42,535,20
C10175,0,34,M,201181.89,SAL,9,297,4
C10176,1,34,M,108090.83,SAL,32,228,1
C10177,0,27,M,201181.89,SAL,3,339,4
C10178,1,29,M,100231.82,PROF,5,393,4
C10179,1,28,M,141228.42,SAL,31,163,14
C1018,0,47,M,24558.62,PROF,38,540,28
C10180,0,40,M,710106.95,SAL,4,956,30
C10181,1,26,M,573946.29,SAL,13,443,17
C10182,1,34,M,201181.89,SAL,35,137,13
C10183,1,23,M,627960.17,SAL,42,205,12
C10184,0,22,M,201181.89,SAL,34,680,21
C10185,0,28,M,607419.4,SAL,24,330,5
C10186,1,30,M,201181.89,SAL,20,700,14
C10187,1,30,M,160733.76,SAL,49,706,15
C10188,1,32,M,674674.51,SAL,3,529,12
C10189,1,22,M,201181.89,SAL,8,972,3
C1019,1,37,M,34902.92,PROF,21,153,18
C10190,0,41,M,238943.27,SAL,24,250,19
C10191,0,32,M,238943.27,SAL,43,661,22
C10192,0,30,M,576681.29,SAL,50,697,10
C10193,1,29,M,238943.27,SAL,18,169,1
C10194,1,27,M,8932.87,SAL,33,218,16
C10195,0,27,M,27391.9,SAL,20,169,7
C10196,1,29,M,667414.95,SAL,2,378,2
C10197,1,31,M,509016.69,SAL,43,344,11
C10198,1,29,M,53780.82,SAL,21,924,4
C10199,1,42,M,672959.17,SAL,4,907,9
C102,0,49,F,104133.75,PROF,34,676,26
C1020,1,42,M,2097.14,PROF,47,483,4
C10200,1,34,M,40536.69,SELF-EMP,45,915,12
C10201,0,26,M,652967.65,SAL,35,904,30
C10202,1,35,M,690585.84,SAL,44,152,13
C10203,0,29,M,242186.57,SAL,23,232,26
C10204,1,24,M,30134.96,SELF-EMP,44,605,16
C10205,1,24,M,391931.21,SELF-EMP,21,829,20
C10206,1,28,M,7257.38,SELF-EMP,48,951,4
C10207,1,24,F,330458.98,SELF-EMP,43,582,6
C10208,0,50,F,671831.29,SAL,12,700,22
C10209,1,24,F,245500,SELF-EMP,7,230,3
C1021,0,36,M,13849.86,SAL,21,613,25
C10210,0,32,F,144258.73,SAL,37,985,20
C10211,1,47,F,684674.12,SAL,42,411,1
C10212,1,32,F,98328.19,SAL,7,213,14
C10213,0,41,F,690229.34,SELF-EMP,26,932,24
C10214,1,41,F,245500,SAL,18,998,18
C10215,0,38,M,1202625.81,PROF,33,484,19
C10216,1,33,M,245500,SAL,24,166,9
C10217,0,23,M,193048.94,PROF,21,738,7
C10218,0,45,M,108680.3,SAL,10,169,26
C10219,0,35,M,38727.56,SELF-EMP,38,389,5
C1022,0,41,M,7479.18,SELF-EMP,39,926,11
C10220,0,28,M,192465.84,SELF-EMP,8,946,20
C10221,0,26,M,165792.36,SAL,50,365,23
C10222,0,23,M,107527.91,SAL,15,156,12
C10223,0,23,M,245500,SAL,35,196,19
C10224,0,38,M,36253.61,SAL,29,482,27
C10225,0,23,M,606698.91,SELF-EMP,30,311,23
C10226,1,37,M,249809.73,SELF-EMP,5,141,1
C10227,1,25,M,43776.39,SAL,6,137,15
C10228,0,24,M,781221.45,SAL,23,604,5
C10229,0,23,M,245500,SELF-EMP,3,342,23
C1023,0,37,M,33815.49,SELF-EMP,42,494,24
C10230,1,28,M,26368.64,SELF-EMP,48,161,1
C10231,1,25,M,234687.26,SELF-EMP,2,755,9
C10232,0,32,M,249809.73,SELF-EMP,35,968,10
C10233,0,29,M,127750.71,SAL,31,643,29
C10234,1,31,M,10188.44,SAL,18,524,1
C10235,0,45,M,111408.24,SAL,43,346,10
C10236,1,28,M,249809.73,SAL,18,139,15
C10237,0,31,M,112516.84,SAL,25,851,7
C10238,1,25,M,74105.46,SELF-EMP,48,494,3
C10239,0,36,M,249809.73,SAL,35,409,21
C1024,1,39,M,26949.26,PROF,40,681,16
C10240,0,46,M,926777.04,PROF,7,619,25
C10241,0,23,M,532215.84,SAL,37,233,12
C10242,1,41,M,249809.73,SAL,29,874,1
C10243,1,24,M,245500,SAL,39,261,2
C10244,0,35,M,730461.68,SAL,1,122,10
C10245,1,27,F,249809.73,SELF-EMP,18,686,1
C10246,1,25,F,54448.46,SELF-EMP,32,349,2
C10247,1,26,F,29255.92,SELF-EMP,46,860,3
C10248,1,55,M,48845.48,SAL,7,583,1
C10249,0,25,M,755647.81,SELF-EMP,2,891,7
C1025,0,52,M,7659.96,PROF,43,114,20
C10250,0,46,F,685014.12,SAL,27,966,24
C10251,0,46,F,773059.09,SELF-EMP,23,863,28
C10252,0,45,F,586764.26,PROF,28,448,11
C10253,0,25,F,40728.97,SELF-EMP,29,137,30
C10254,0,26,F,722925.48,SAL,45,268,23
C10255,0,39,F,249809.73,PROF,9,816,30
C10256,1,24,F,552781.87,SAL,7,807,16
C10257,0,33,F,525905.49,SAL,10,288,14
C10258,1,33,F,96428.23,SAL,41,513,7
C10259,0,26,F,753374.92,SELF-EMP,23,469,15
C1026,0,25,M,18122.33,SAL,26,626,25
C10260,1,28,F,249809.73,SAL,22,741,18
C10261,0,27,O,111544.52,PROF,20,382,30
C10262,0,27,O,134243.57,SAL,39,155,23
C10263,0,27,O,50500.59,SAL,7,506,24
C10264,0,23,O,141861.04,SELF-EMP,2,162,14
C10265,0,47,O,22411.11,SAL,22,692,29
C10266,1,47,O,935442.01,SAL,15,159,9
C10267,1,21,O,43859.21,SAL,6,481,17
C10268,0,27,O,660337.7,PROF,34,192,20
C10269,0,28,O,686659.36,SELF-EMP,33,985,13
C1027,1,30,M,13602.39,PROF,8,650,3
C10270,0,27,O,644712.72,SAL,36,516,12
C10271,0,30,O,249809.73,SAL,48,359,5
C10272,0,23,O,249809.73,SAL,41,553,29
C10273,1,23,M,149655.79,SAL,32,515,3
C10274,0,23,M,19405.53,SELF-EMP,15,458,26
C10275,0,25,M,799302.81,SAL,46,287,27
C10276,0,26,M,3282.89,SELF-EMP,5,487,29
C10277,0,24,M,245500,SAL,7,921,14
C10278,1,23,M,338539.09,SELF-EMP,4,801,3
C10279,1,27,M,245500,SAL,3,451,8
C1028,0,51,M,3302.22,SELF-EMP,18,328,26
C10280,0,26,M,0,SELF-EMP,13,901,10
C10281,0,22,M,59406,SELF-EMP,48,982,20
C10282,1,22,M,245500,SAL,9,430,1
C10283,0,45,M,72488.96,SAL,21,551,25
C10284,1,35,M,430471.53,SELF-EMP,5,801,6
C10285,1,32,M,113619.1,SELF-EMP,8,801,17
C10286,1,41,M,167437.67,SELF-EMP,36,997,20
C10287,1,36,M,153137.31,SELF-EMP,9,589,4
C10288,1,35,M,243751.61,SAL,36,772,9
C10289,0,38,M,32592.23,SAL,43,641,10
C1029,1,51,M,49420.08,PROF,25,809,1
C10290,0,28,M,232599.32,SAL,32,272,30
C10291,1,22,M,245500,PROF,24,706,3
C10292,0,33,M,245500,PROF,40,699,19
C10293,0,31,M,245500,PROF,35,188,31
C10294,1,31,M,245500,PROF,32,975,16
C10295,0,31,M,245500,PROF,49,753,26
C10296,0,46,M,147057.66,PROF,17,891,19
C10297,1,30,M,832435.72,PROF,49,705,9
C10298,0,26,M,552629.98,SAL,23,583,23
C10299,0,40,M,734084.94,SAL,9,148,15
C103,1,40,F,212089.48,PROF,50,775,6
C1030,0,29,M,4052.56,SELF-EMP,25,203,21
C10300,0,25,M,245500,PROF,7,435,22
C10301,0,28,M,593437.2,PROF,23,896,26
C10302,0,32,M,716273.61,PROF,7,979,10
C10303,0,31,M,33938.64,PROF,47,287,12
C10304,0,22,M,176952.45,SAL,27,340,10
C10305,1,23,M,201244.06,PROF,9,441,3
C10306,0,43,M,32126.06,PROF,23,596,20
C10307,1,43,M,245500,PROF,15,165,1
C10308,0,43,M,63458.36,SAL,21,686,23
C10309,0,39,M,245500,SAL,14,299,28
C1031,1,35,M,620326.76,SAL,23,479,1
C10310,0,26,M,245500,SAL,5,628,24
C10311,1,25,M,188735.25,PROF,36,703,1
C10312,0,26,M,7333.42,SAL,4,899,28
C10313,1,40,M,753377.9,PROF,12,489,18
C10314,1,25,M,245500,PROF,1,731,9
C10315,0,31,M,631754.93,PROF,5,634,11
C10316,1,26,M,170278.69,PROF,6,802,6
C10317,0,31,M,136514.05,PROF,1,499,10
C10318,1,32,M,237422.86,PROF,26,617,5
C10319,0,55,M,42014.27,PROF,19,343,5
C1032,0,51,M,32145.27,SAL,18,645,30
C10320,0,30,M,540571.25,PROF,14,829,22
C10321,1,27,M,226789,SAL,8,754,17
C10322,0,52,M,226789,SAL,49,396,21
C10323,0,55,M,248072.05,SAL,28,804,29
C10324,1,28,M,107493.86,SELF-EMP,41,569,16
C10325,1,42,M,62248.68,PROF,37,637,7
C10326,1,26,M,230058.29,PROF,49,629,2
C10327,1,46,M,220934.09,PROF,23,609,5
C10328,0,25,M,207973.87,SAL,1,280,5
C10329,1,25,M,216151.56,PROF,8,264,1
C1033,0,43,M,16525.71,PROF,2,439,12
C10330,0,34,M,104022.5,PROF,36,100,16
C10331,1,24,M,584232.19,SAL,27,254,9
C10332,0,26,M,4755.95,PROF,16,668,12
C10333,0,48,M,869611.58,SAL,48,344,26
C10334,0,38,M,226789,PROF,36,132,5
C10335,0,49,M,967389.12,PROF,15,391,31
C10336,1,24,M,226789,PROF,40,533,6
C10337,0,25,M,486717.55,PROF,13,912,26
C10338,0,26,M,226135.04,PROF,15,419,30
C10339,0,40,M,148816.72,SAL,7,170,28
C1034,0,49,M,5653.85,SAL,43,171,6
C10340,0,25,M,736101.42,PROF,33,936,29
C10341,1,51,M,83815.72,PROF,27,609,2
C10342,0,42,M,48565.28,SAL,8,472,22
C10343,1,46,M,157889.92,SAL,45,756,8
C10344,1,43,M,32170,SAL,42,694,8
C10345,0,26,M,10889.24,SAL,16,516,13
C10346,1,50,M,31656.48,SAL,41,220,3
C10347,0,31,M,20211.18,SAL,37,901,17
C10348,0,44,M,72969.68,SELF-EMP,8,662,29
C10349,0,54,M,54833.18,SAL,43,204,10
C1035,1,34,M,4150.04,SELF-EMP,14,964,5
C10350,0,29,M,64576.12,SAL,32,344,19
C10351,0,41,M,39638.99,SELF-EMP,16,431,30
C10352,1,43,M,76223.49,SELF-EMP,37,767,1
C10353,0,42,M,93055.07,SELF-EMP,28,766,27
C10354,0,53,M,85212.36,SELF-EMP,22,106,16
C10355,0,42,M,32212.45,SELF-EMP,48,821,23
C10356,0,42,M,1416.77,SELF-EMP,42,748,24
C10357,1,37,M,3193.83,SELF-EMP,35,396,18
C10358,1,41,M,1056.95,SELF-EMP,49,485,9
C10359,0,51,M,3242.36,SELF-EMP,0,508,14
C1036,1,47,M,35593.81,SELF-EMP,39,845,3
C10360,0,51,M,14156.59,SELF-EMP,43,507,20
C10361,0,39,M,5375.83,PROF,2,580,26
C10362,1,47,F,1182.32,SELF-EMP,19,929,3
C10363,1,36,F,5935.06,SELF-EMP,12,987,16
C10364,1,43,F,13389.08,SELF-EMP,13,829,12
C10365,1,37,F,5588.28,SELF-EMP,38,933,6
C10366,1,47,F,7026.9,SELF-EMP,27,898,7
C10367,0,54,M,13340.27,SELF-EMP,12,270,30
C10368,0,46,M,5060.06,SELF-EMP,35,981,23
C10369,0,53,M,3001.23,SELF-EMP,21,787,22
C1037,1,45,M,206177.67,SENP,23,516,11
C10370,0,35,M,874.62,SELF-EMP,22,296,16
C10371,0,53,M,8748.64,SELF-EMP,3,117,6
C10372,0,36,M,8435.94,SELF-EMP,20,338,15
C10373,0,45,M,6088.17,SELF-EMP,33,859,31
C10374,1,50,M,178674.59,SELF-EMP,26,795,8
C10375,0,36,M,7102.01,PROF,33,910,10
C10376,1,55,M,1965.25,SELF-EMP,1,964,9
C10377,0,45,M,5238.15,SELF-EMP,22,660,16
C10378,0,51,M,346418.51,SAL,39,708,13
C10379,1,48,M,74984.51,SELF-EMP,45,995,7
C1038,1,36,M,758.85,SENP,25,823,3
C10380,1,44,M,32498.49,SELF-EMP,16,917,7
C10381,0,41,M,37083.3,SELF-EMP,9,294,27
C10382,0,47,M,11576.42,SELF-EMP,37,422,20
C10383,1,41,M,1959.19,SELF-EMP,10,714,4
C10384,1,28,M,22972.64,SELF-EMP,2,953,4
C10385,0,49,M,4461.53,SELF-EMP,25,982,3
C10386,1,30,M,3800.64,SELF-EMP,2,554,7
C10387,0,32,M,93217.74,SELF-EMP,28,312,28
C10388,0,35,M,495989.12,SAL,22,841,3
C10389,0,23,M,649066.6,PROF,19,652,20
C1039,0,33,M,78174.7,PROF,31,852,5
C10390,1,41,M,14302.55,PROF,28,371,17
C10391,0,44,M,7606.13,SAL,14,218,10
C10392,0,22,M,593147.47,SAL,23,604,26
C10393,0,28,M,13617.84,SAL,46,132,18
C10394,0,23,M,25553.6,SELF-EMP,21,810,28
C10395,0,43,M,696414.21,SAL,50,621,14
C10396,0,35,M,4263.17,SAL,49,436,27
C10397,1,45,M,9993.55,PROF,27,923,8
C10398,1,28,M,44468.81,SELF-EMP,11,321,4
C10399,0,39,M,1532.76,PROF,17,106,15
C104,0,41,F,212521.94,PROF,39,485,15
C1040,0,54,M,50338.79,PROF,12,416,16
C10400,0,44,M,4137.54,PROF,37,886,17
C10401,0,51,M,20078.89,PROF,1,583,10
C10402,0,46,M,56027.2,SAL,4,155,21
C10403,1,22,M,6593.97,SELF-EMP,2,601,8
C10404,1,39,M,232184.16,SELF-EMP,45,753,8
C10405,1,46,M,32381.56,SELF-EMP,21,822,9
C10406,1,44,M,32362.25,SELF-EMP,7,709,17
C10407,1,44,M,232867.2,SAL,2,484,1
C10408,1,43,M,8569.86,SAL,21,491,9
C10409,0,52,M,29164.43,SAL,45,803,28
C1041,0,25,M,34926.66,PROF,13,896,25
C10410,1,23,M,2340.57,SAL,28,487,7
C10411,0,42,M,303205.19,SAL,2,504,13
C10412,0,54,M,175795.9,SELF-EMP,36,621,11
C10413,0,30,M,22554.63,PROF,1,563,31
C10414,0,55,M,11511.47,SAL,35,678,27
C10415,0,42,M,20179.21,SAL,50,466,3
C10416,0,47,M,7770.75,SAL,9,558,13
C10417,1,46,M,1120.03,SELF-EMP,18,836,17
C10418,0,42,M,135739.74,SAL,46,973,29
C10419,1,32,M,9934.34,SELF-EMP,19,943,5
C1042,0,31,M,9264.38,SAL,43,513,23
C10420,0,30,M,5026.88,SAL,7,964,16
C10421,0,27,M,6361.43,SAL,17,174,5
C10422,0,25,M,83964.83,SAL,12,543,21
C10423,0,25,M,4480.59,SAL,46,361,30
C10424,0,41,M,76184.75,SAL,39,170,12
C10425,0,41,M,1199.35,SELF-EMP,36,103,12
C10426,1,41,M,867.54,PROF,29,611,4
C10427,0,54,M,515.47,SAL,42,610,13
C10428,0,48,M,73228.23,SAL,43,389,5
C10429,0,55,M,17927.76,SAL,50,561,24
C1043,0,33,M,63341.19,SAL,42,908,26
C10430,0,41,M,3719.09,SAL,50,359,23
C10431,1,36,M,1306.91,SAL,17,308,4
C10432,0,26,M,450.2,SAL,43,143,22
C10433,1,37,M,64331.68,SAL,11,940,1
C10434,0,45,M,169578.63,SAL,14,368,31
C10435,0,26,M,742337.3,SAL,44,866,18
C10436,1,27,M,35439.09,SELF-EMP,11,884,2
C10437,0,25,M,9309.51,SAL,29,713,12
C10438,1,30,M,5026.64,SAL,48,788,4
C10439,0,48,M,4751.54,SAL,25,566,31
C1044,0,28,M,55569.49,PROF,10,430,14
C10440,1,28,M,803.43,SAL,49,689,7
C10441,0,27,M,260.75,SAL,26,725,28
C10442,0,24,M,98616.93,SAL,2,659,29
C10443,1,41,M,107276.22,PROF,50,335,4
C10444,1,36,M,23890.06,SELF-EMP,35,758,5
C10445,1,33,M,8233.01,SELF-EMP,44,923,17
C10446,0,38,M,3663.66,SAL,30,686,26
C10447,0,47,M,2715.25,SAL,32,205,18
C10448,1,44,M,26811.88,PROF,7,119,7
C10449,1,32,M,4154.73,SAL,50,213,1
C1045,0,32,M,14598.55,PROF,49,144,15
C10450,0,25,M,3237.44,SELF-EMP,4,419,21
C10451,0,28,M,1496.19,SELF-EMP,50,342,21
C10452,0,31,M,5030.24,SAL,12,385,3
C10453,1,42,M,10194.81,SELF-EMP,18,313,16
C10454,0,29,M,2492.38,SELF-EMP,8,312,19
C10455,1,39,M,11675.68,SAL,2,974,8
C10456,0,32,M,7708.1,SAL,24,844,17
C10457,0,27,M,78544.66,SELF-EMP,4,245,21
C10458,0,27,M,332256.5,SAL,6,594,6
C10459,0,32,M,70655.53,PROF,33,724,27
C1046,0,35,M,44523.14,SELF-EMP,4,277,6
C10460,0,53,M,10930.45,SAL,34,810,15
C10461,0,52,M,5383.42,SAL,11,138,16
C10462,0,43,M,208758.88,SELF-EMP,38,708,10
C10463,0,41,M,228525.66,SAL,2,827,20
C10464,0,49,M,5037.47,PROF,10,620,27
C10465,0,49,M,30222.18,SAL,45,845,14
C10466,1,37,M,1216.41,SAL,2,524,7
C10467,0,53,M,418.99,SAL,9,507,28
C10468,0,52,M,4207.22,SELF-EMP,25,926,12
C10469,1,38,M,2369.83,SAL,35,194,4
C1047,0,49,M,8419.38,PROF,15,272,28
C10470,0,33,M,2466.06,SAL,37,259,26
C10471,0,54,M,3370.14,PROF,15,993,20
C10472,0,42,M,1734.22,PROF,6,985,3
C10473,1,53,M,8235.06,SAL,26,405,4
C10474,0,28,M,3717.52,SAL,3,344,10
C10475,1,44,M,100025.37,SELF-EMP,6,379,13
C10476,0,39,M,3829.66,SELF-EMP,6,582,18
C10477,0,41,M,4831.06,SAL,17,213,29
C10478,0,43,M,1341.1,SELF-EMP,17,885,23
C10479,0,44,M,937.11,SAL,39,215,24
C1048,0,50,M,107270.22,SAL,11,914,30
C10480,0,51,M,10045.24,SAL,39,986,11
C10481,1,35,M,23524.52,PROF,37,583,13
C10482,1,54,M,12740.89,SELF-EMP,7,833,5
