EmployeeID,Attrition,Age,TravelProfile,Department,HomeToWork,EducationField,Gender,HourlnWeek,Involvement,WorkLifeBalance,Designation,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome
5110024,0,33,Rarely,Analytics,3,Statistics,Male,68,3,3,Manager,4,0,2,0,23,11,1,10,Married,22220
5110025,0,41,Rarely,Sales,7,Marketing Diploma,Male,35,3,1,Senior Manager,3,1,1,0,17,10,8,7,Single,24241
5110026,0,47,Rarely,Sales,15,CA,Female,78,3,2,Manager,3,0,3,1,22,11,1,2,Divorsed,19591
5110027,0,34,Rarely,Analytics,17,CA,Female,74,3,3,Executive,4,1,2,0,19,9,2,,Divorsed,18756
5110028,0,51,Yes,Analytics,7,CA,Female,40,4,2,Executive,3,1,0,0,19,8,7,7,Single,17838
5110029,0,52,No,Analytics,20,CA,Male,41,3,5,Executive,2,1,0,0,23,5,1,2,Divorsed,19258
5110030,0,52,No,Sales,30,Statistics,Male,40,3,5,Executive,1,0,2,0,20,16,0,0,M,18482
5110031,0,39,Rarely,Sales,13,Marketing Diploma,Male,75,4,1,Senior Manager,3,0,1,1,20,10,3,8,Married,24740
5110032,0,36,Rarely,Analytics,15,Statistics,Male,68,3,5,Manager,1,1,0,1,22,17,4,11,Married,21586
5110033,0,53,Rarely,Sales,1,CA,F,34,3,3,Manager,5,1,7,0,,18,8,10,Single,23381
5110034,0,,Rarely,Sales,7,Marketing Diploma,Male,,3,4,Manager,3,0,2,1,25,13,4,5,Divorsed,17306
5110035,0,43,Rarely,Analytics,,CA,Female,72,1,5,Executive,3,1,1,0,17,6,1,4,M,17645
5110036,0,45,Rarely,Marketing,3,Statistics,F,52,4,4,Manager,3,0,5,0,17,11,1,3,Single,21985
5110037,0,36,Rarely,Analytics,1,Engineer,F,77,5,4,Senior Manager,5,1,2,1,26,17,7,7,Married,25252
5110038,0,51,Rarely,Analytics,5,CA,Male,66,3,5,AVP,3,0,6,0,22,31,1,4,Married,33639
5110039,1,20,Rarely,Sales,24,Other,Male,39,4,1,Executive,4,0,2,1,19,2,1,1,Single,18121
5110040,1,35,Yes,Sales,19,Marketing Diploma,Female,67,3,3,Manager,3,1,0,1,23,5,3,2,Divorsed,19614
5110041,0,34,Yes,Analytics,3,Statistics,F,70,3,4,Senior Manager,1,0,2,1,18,16,9,13,Single,29458
5110042,1,25,Rarely,Analytics,20,Statistics,Female,69,3,2,Executive,4,1,2,0,19,2,1,1,M,18210
5110043,1,43,Yes,Analytics,22,CA,Male,59,1,2,Executive,3,0,7,1,18,8,3,,M,18759
5110044,0,35,Yes,Analytics,3,CA,Female,37,3,5,Manager,4,0,5,0,16,10,1,2,Single,19425
5110045,0,50,Rarely,Analytics,11,Engineer,Male,80,4,5,Senior Manager,2,0,6,0,20,20,1,3,Single,25496
5110046,0,38,Rarely,Analytics,24,Statistics,Male,52,3,3,Manager,2,0,9,0,19,10,,2,Married,20745
5110047,1,34,Yes,Analytics,8,Statistics,Male,66,5,4,Manager,3,1,1,1,29,,0,6,Single,21074
5110048,0,,Rarely,Analytics,5,Statistics,Female,,3,1,Executive,3,0,1,0,24,1,0,0,Single,17318
5110049,0,57,Rarely,Analytics,25,Statistics,Male,53,2,4,Senior Manager,2,1,3,1,21,12,1,4,Married,24439
5110050,0,30,Rarely,Sales,13,Statistics,Male,61,3,4,Executive,3,0,2,0,17,2,1,1,Single,18642
5110051,1,,Rarely,Analytics,11,Statistics,Female,,4,4,Executive,4,0,2,0,18,2,1,1,Single,17261
5110052,0,40,Yes,Analytics,1,Statistics,Male,78,4,1,AVP,4,0,1,0,27,22,11,11,Divorsed,28503
5110053,0,31,Yes,Sales,,Statistics,Male,67,1,3,Executive,2,1,0,0,17,3,2,2,Divorsed,17791
5110054,0,43,Yes,Sales,27,Statistics,Male,62,3,3,AVP,2,1,1,1,17,25,4,12,Divorsed,31959
5110055,0,39,Rarely,Analytics,18,Statistics,Male,64,4,5,Senior Manager,2,1,1,1,20,13,3,10,Married,27510
5110056,1,32,Rarely,Analytics,10,CA,Female,41,3,3,Executive,5,1,7,0,27,10,0,4,Single,19200
5110057,0,34,Rarely,Sales,9,Engineer,Male,62,1,1,Manager,3,1,1,0,26,10,4,8,Married,21799
5110058,1,32,Rarely,Sales,3,Marketing Diploma,Male,52,4,4,Manager,4,0,7,1,17,7,2,2,Single,24907
5110059,0,,Rarely,Analytics,22,CA,Male,79,1,3,Executive,4,0,1,0,23,14,2,13,M,17028
5110060,0,34,Rarely,Analytics,9,CA,Male,52,1,1,Manager,3,0,2,0,17,6,1,2,Married,19404
5110061,0,,Rarely,Sales,3,Engineer,Male,,3,1,Executive,5,0,3,0,18,3,0,0,M,17322
5110062,1,29,Rarely,Sales,24,Statistics,F,45,4,5,Senior Manager,5,0,1,0,18,11,3,10,Divorsed,22336
5110063,0,42,No,Sales,13,CA,Male,42,5,5,Manager,4,0,2,0,19,20,12,10,Single,22151
5110064,0,44,Rarely,Sales,29,CA,F,53,1,1,AVP,1,1,3,1,23,23,11,11,Married,28320
5110065,1,32,Rarely,Analytics,1,Statistics,Male,62,4,3,Executive,3,1,0,1,19,4,1,,Single,18730
5110066,0,26,Rarely,Sales,1,Statistics,Male,57,3,5,Manager,3,1,1,0,22,8,7,7,Married,20296
5110067,0,26,Rarely,Analytics,22,CA,Male,69,3,3,Executive,1,1,4,0,17,8,2,3,Married,19669
5110068,0,34,Rarely,Analytics,3,Statistics,F,44,4,4,Manager,1,0,1,0,,7,2,5,Single,22949
5110069,0,29,Rarely,Analytics,4,CA,Male,63,4,5,Senior Manager,3,0,1,0,23,10,0,7,Divorsed,26935
5110070,0,35,Rarely,Analytics,13,Statistics,Male,55,3,5,Executive,4,1,2,0,20,2,2,1,M,18008
5110071,1,21,Yes,Sales,12,Marketing Diploma,,56,3,4,Executive,2,0,2,1,20,3,1,3,Single,18323
5110072,0,44,Yes,Analytics,30,Statistics,F,55,3,5,Senior Manager,5,1,9,0,17,19,1,2,Divorsed,26820
5110073,0,37,No,Analytics,26,CA,Female,72,3,1,Manager,3,1,3,1,20,15,10,7,Married,19449
5110074,1,39,Rarely,Analytics,32,CA,Male,72,3,2,Manager,5,1,8,1,,18,1,1,Married,22673
5110075,0,41,Rarely,Sales,24,Statistics,Male,80,3,3,Senior Manager,3,0,3,1,21,21,0,2,Single,22082
5110076,0,30,Rarely,Analytics,6,Engineer,Female,54,3,3,Executive,5,0,5,0,19,8,2,8,M,18204
5110077,0,40,Rarely,Sales,11,Marketing Diploma,Male,67,4,5,Senior Manager,4,1,2,0,17,11,0,0,Married,24705
5110078,0,41,Rarely,Sales,17,Statistics,Female,56,3,4,Manager,5,0,2,0,21,6,2,3,Married,20639
5110079,0,43,Yes,Analytics,10,CA,Male,72,3,5,Manager,3,0,3,1,18,10,4,7,Married,20679
5110080,1,,Rarely,Sales,12,CA,Male,61,3,4,Executive,1,1,2,0,19,2,1,1,Single,17081
5110081,0,32,Rarely,Analytics,4,Statistics,F,39,3,1,Senior Manager,2,1,3,0,20,10,7,7,Single,26159
5110082,0,38,Rarely,,5,CA,Female,57,3,3,Executive,3,1,7,0,24,7,0,0,M,18306
5110083,0,52,Rarely,Analytics,1,Statistics,Male,65,4,1,VP,3,0,0,0,19,34,11,9,Married,34999
5110084,0,38,Yes,Analytics,3,Statistics,Female,75,1,4,Manager,5,0,6,1,17,17,4,12,Single,20980
5110085,0,27,No,Sales,1,Marketing Diploma,Male,73,3,4,Manager,4,1,0,1,18,,1,4,Divorsed,21349
5110086,0,52,Rarely,Analytics,7,Engineer,Male,78,3,4,Manager,5,0,3,1,17,18,6,9,Married,20577
5110087,1,31,Rarely,Sales,7,Statistics,Male,76,5,1,Manager,3,0,4,1,23,,7,7,Divorsed,21172
5110088,1,26,Rarely,Analytics,6,CA,Male,63,3,3,Executive,5,1,6,0,19,7,1,3,Married,20031
5110089,1,32,Rarely,Analytics,,Statistics,Male,57,3,4,Executive,1,0,1,1,29,1,0,1,Single,17795
5110090,1,53,Rarely,Analytics,11,CA,Male,57,4,1,Manager,4,1,3,0,21,12,8,8,Divorsed,20941
5110091,1,24,Rarely,Analytics,,Statistics,Male,65,1,2,Executive,5,0,2,1,27,2,1,1,M,17601
5110092,1,31,Rarely,Marketing,19,MBA,Male,59,1,4,Executive,5,1,0,0,22,2,0,0,M,17956
5110093,0,,Rarely,Analytics,16,Statistics,Male,,3,4,Executive,1,0,1,0,24,6,1,5,Single,17340
5110094,0,33,Rarely,Analytics,3,CA,Male,35,3,2,Manager,1,1,2,1,28,10,8,9,Married,22162
5110095,0,43,Yes,Analytics,10,CA,Male,72,3,4,Manager,3,0,3,1,18,10,4,7,Married,20679
5110096,1,44,Rarely,Analytics,16,CA,F,73,3,4,Senior Manager,2,1,1,0,,10,0,5,Divorsed,22978
5110097,0,32,No,Analytics,8,CA,Male,76,3,3,Manager,5,0,1,0,25,11,2,8,Single,25936
5110098,0,40,Yes,Sales,6,Statistics,Male,48,4,3,Senior Manager,5,1,5,1,26,20,1,12,Divorsed,25475
5110099,1,34,Rarely,Analytics,17,CA,Male,60,3,5,Executive,1,1,6,1,19,9,1,5,M,18436
5110100,1,48,Yes,Sales,12,Statistics,Male,54,5,4,AVP,3,1,8,0,17,26,15,11,Married,28936
5110101,0,28,Rarely,,11,CA,Male,74,3,2,Executive,4,1,1,0,27,1,0,0,Married,16052
5110102,0,29,Rarely,Analytics,8,Statistics,Male,52,3,2,Manager,1,1,1,1,16,6,1,0,Married,21623
5110103,0,32,Rarely,Analytics,27,CA,F,68,4,5,Manager,5,1,2,0,,11,2,9,Single,22812
5110104,1,29,Yes,Sales,14,Engineer,Female,51,3,2,Manager,4,0,5,0,16,7,,0,Single,20765
5110105,0,36,No,Analytics,1,CA,Female,33,4,5,Manager,3,1,0,0,20,4,1,2,Married,19374
5110106,0,33,No,Sales,5,Statistics,Female,78,3,5,Executive,5,0,2,0,18,2,1,,M,18827
5110107,0,34,No,Analytics,4,Statistics,Male,40,4,4,Executive,2,1,3,0,22,6,0,0,Divorsed,17979
5110108,1,24,Yes,Analytics,8,Statistics,Female,55,3,4,Executive,3,0,1,1,21,6,1,2,M,17886
5110109,0,31,Rarely,Analytics,8,Statistics,Male,48,3,1,Manager,2,0,3,0,27,10,1,7,Married,20915
5110110,0,49,Rarely,Analytics,5,CA,Male,55,4,3,VP,3,1,2,0,18,23,0,0,Married,33711
5110111,0,30,Rarely,Analytics,12,Other,Male,32,4,3,Executive,2,0,1,0,23,5,3,3,Single,19983
5110112,0,29,Rarely,Analytics,13,Other,Female,61,3,1,Manager,3,0,4,0,19,11,2,8,Single,19660
5110113,1,29,Rarely,Sales,,Marketing Diploma,Female,52,5,3,Executive,4,0,1,0,18,2,2,2,Single,17760
5110114,0,25,No,Sales,16,Statistics,Female,80,3,3,Executive,4,0,2,0,19,2,1,1,M,18033
5110115,1,41,Rarely,Analytics,13,Engineer,F,49,3,3,VP,3,0,1,0,17,23,15,8,Divorsed,34545
5110116,0,32,Rarely,Analytics,1,Statistics,Male,66,3,5,Manager,4,1,1,0,22,,0,9,Married,21220
5110117,0,35,Rarely,Analytics,23,Engineer,Female,61,1,4,Executive,3,1,1,0,23,3,1,1,M,18585
5110118,0,28,Rarely,Analytics,10,CA,F,57,4,5,Manager,5,1,9,0,,10,1,8,Single,22811
5110119,0,30,Rarely,Sales,6,Marketing Diploma,Female,30,4,3,Manager,3,0,1,0,18,,1,2,Married,21118
5110120,1,31,Rarely,Sales,4,Statistics,Male,66,4,2,Manager,5,1,2,0,17,11,7,8,Married,25714
5110121,0,32,Rarely,,6,Statistics,Male,80,1,1,Executive,4,0,0,1,17,7,0,5,M,18298
5110122,0,31,Rarely,Analytics,1,CA,Male,57,3,1,Executive,4,1,1,0,22,1,1,0,Single,17501
5110123,0,43,Rarely,Analytics,21,Statistics,Male,37,3,5,Manager,5,0,7,1,23,10,2,3,Married,21410
5110124,1,35,Yes,Sales,13,Other,Male,36,3,2,Manager,1,1,3,1,29,13,6,7,Single,19581
5110125,1,36,Rarely,Analytics,26,Statistics,Male,52,4,4,Manager,3,1,4,1,19,9,1,2,Divorsed,21916
5110126,0,36,No,Sales,11,Marketing Diploma,F,80,4,5,Senior Manager,2,0,5,1,17,17,5,13,Divorsed,26377
5110127,0,40,No,Analytics,10,Statistics,Male,63,4,3,Manager,2,1,9,0,19,5,0,2,Divorsed,19876
5110128,0,38,Yes,Analytics,7,Statistics,Male,72,4,1,Manager,3,0,2,0,16,10,7,7,Married,20321
5110129,0,24,Rarely,Analytics,7,CA,Female,53,3,1,Executive,4,1,2,0,19,4,2,3,Single,19295
5110130,1,38,Rarely,Analytics,30,CA,Male,70,3,3,Manager,5,0,7,1,24,17,0,0,Divorsed,21673
5110131,0,38,Rarely,Sales,13,Statistics,F,60,4,1,Manager,2,1,3,1,,9,1,1,Married,22694
5110132,0,29,Rarely,Sales,6,CA,Female,80,3,4,Executive,4,0,2,0,25,2,1,,M,18856
5110133,0,34,Rarely,Sales,1,Engineer,Male,64,4,1,Senior Manager,3,0,1,1,19,10,8,6,Divorsed,22083
5110134,1,33,Rarely,Sales,7,CA,Male,34,5,4,Senior Manager,2,0,2,0,17,15,10,9,Divorsed,26400
5110135,1,38,Rarely,Analytics,5,Other,Male,64,4,5,Executive,3,0,7,1,21,8,1,1,Single,18090
5110136,1,36,Rarely,Analytics,17,Other,Male,41,4,2,Executive,4,1,2,1,30,6,1,3,Married,19743
5110137,0,38,Rarely,Analytics,13,Statistics,F,44,1,1,Senior Manager,1,0,2,1,31,17,7,9,Married,29744
5110138,0,36,No,Sales,1,CA,Female,45,3,5,Manager,1,0,4,0,20,7,0,0,Single,21653
5110139,0,46,Yes,Analytics,19,CA,F,56,3,5,Senior Manager,3,0,5,0,16,28,1,2,Divorsed,25527
5110140,0,35,Rarely,Marketing,27,Statistics,F,31,3,5,Senior Manager,1,0,1,1,21,9,7,7,Single,23837
5110141,0,38,Rarely,Sales,8,CA,Female,44,1,3,Manager,5,0,1,1,29,8,7,7,Married,20605
5110142,0,28,Yes,Sales,8,Statistics,Male,55,3,4,Manager,5,0,0,0,19,5,1,3,Single,19898
5110143,0,39,Yes,Analytics,5,CA,Female,44,4,4,Executive,4,1,2,0,28,5,4,4,Single,18440
5110144,0,41,Rarely,Sales,1,Marketing Diploma,Male,49,2,3,Senior Manager,5,1,1,0,,10,0,7,Divorsed,23392
5110145,0,51,Rarely,Analytics,3,CA,Male,54,5,5,Manager,4,0,5,0,23,13,1,2,Married,20482
5110146,0,34,Rarely,Analytics,8,Statistics,Female,65,4,2,Executive,2,0,2,0,19,3,1,,Divorsed,18911
5110147,1,31,Yes,Analytics,1,Statistics,F,80,1,1,Senior Manager,4,0,1,0,16,10,4,7,Single,22446
5110148,1,33,Rarely,Sales,17,Marketing Diploma,Female,69,3,3,Manager,5,0,5,0,20,6,0,2,Single,20324
5110149,0,31,Rarely,Analytics,9,Engineer,Female,50,4,1,Manager,1,1,1,0,18,11,7,8,Married,20627
5110150,0,27,Rarely,Sales,,CA,Female,68,1,5,Executive,1,1,8,0,19,5,0,0,M,17534
5110151,1,52,Yes,Analytics,11,Statistics,Male,55,5,1,Senior Manager,2,0,3,0,21,19,1,4,Single,26650
5110152,0,49,Rarely,Analytics,2,Statistics,Male,36,3,2,AVP,3,1,4,0,19,23,0,0,Single,30379
5110153,0,41,Rarely,Sales,3,Statistics,Male,58,3,4,AVP,4,0,1,0,24,22,0,4,Single,31015
5110154,0,32,Rarely,Sales,8,Marketing Diploma,Male,67,3,2,Manager,2,1,4,0,17,7,0,3,Divorsed,24204
5110155,1,30,Rarely,,10,CA,Male,59,3,2,Executive,1,0,1,0,18,1,0,0,Single,16081
5110156,0,45,Rarely,Analytics,4,Statistics,Male,80,1,2,Manager,5,0,3,0,21,,3,3,Married,21033
5110157,1,49,Yes,Sales,10,CA,Female,67,3,2,Executive,3,1,3,1,17,20,8,8,M,18655
5110158,0,31,Rarely,Sales,11,CA,Female,56,3,1,Manager,1,1,2,1,16,8,1,4,Married,21583
5110159,0,39,Rarely,Analytics,5,CA,Male,64,3,4,Executive,3,0,7,1,19,7,1,,Married,19057
5110160,0,39,Rarely,Sales,4,Statistics,Male,61,4,1,Executive,5,0,5,0,20,21,1,,Single,18858
5110161,0,20,Rarely,Sales,,Statistics,Male,54,3,5,Executive,5,1,1,0,16,2,0,2,Single,17728
5110162,1,28,Rarely,Analytics,3,CA,Male,54,5,2,Executive,1,0,5,1,18,5,2,2,M,18464
5110163,0,56,Rarely,Analytics,5,Engineer,Male,70,4,4,Executive,1,0,9,0,26,20,1,5,M,18662
5110164,1,,Yes,Sales,1,Engineer,Female,,5,1,Executive,5,0,0,0,26,1,0,0,Single,17325
5110165,0,49,Rarely,Analytics,1,Engineer,Female,36,3,1,Executive,5,0,2,0,21,7,0,2,M,18580
5110166,0,29,No,Analytics,19,CA,Male,51,3,5,Executive,3,0,2,0,20,6,2,5,Single,18144
5110167,0,34,Rarely,Sales,2,Marketing Diploma,Male,32,3,3,Senior Manager,1,0,1,0,26,14,2,1,Single,24888
5110168,1,40,Yes,Analytics,5,Statistics,Male,56,3,2,AVP,1,0,8,0,17,22,12,6,Married,28169
5110169,1,28,No,Analytics,25,Engineer,Male,72,4,4,Senior Manager,5,0,1,0,17,10,1,9,Single,23722
5110170,1,29,Yes,Analytics,25,Statistics,Male,,4,4,Executive,1,0,1,1,29,1,1,0,Single,17439
5110171,0,40,Rarely,Sales,5,Marketing Diploma,Male,67,4,4,Senior Manager,2,1,7,0,16,15,2,11,Divorsed,25855
5110172,1,37,Rarely,Sales,1,Statistics,Male,46,4,4,Senior Manager,3,1,5,0,16,17,11,3,Married,25609
5110173,0,52,Yes,Analytics,26,CA,F,51,4,1,AVP,1,0,3,0,27,31,0,0,Married,28826
5110174,0,31,Rarely,Analytics,20,CA,F,67,3,1,Senior Manager,5,0,2,1,29,10,1,9,Divorsed,27916
5110175,0,43,Rarely,Analytics,3,Statistics,F,45,4,2,Manager,2,0,10,1,19,9,1,3,Divorsed,22062
5110176,0,35,Rarely,Analytics,5,Statistics,Male,64,4,5,Executive,3,0,4,0,18,15,6,,M,18768
5110177,1,38,Rarely,Analytics,13,CA,Male,60,3,3,Manager,5,1,2,0,21,11,1,9,Single,20213
5110178,0,35,Yes,Analytics,25,Other,Male,58,4,5,Manager,1,1,2,1,21,17,7,12,Married,21747
5110179,0,40,Rarely,Sales,15,Statistics,Female,54,3,3,Manager,5,1,1,0,20,5,1,2,Married,19639
5110180,0,41,Rarely,Sales,9,Marketing Diploma,Female,54,3,3,Manager,4,0,5,0,26,14,1,4,Married,19393
5110181,0,24,Rarely,Analytics,25,CA,Male,49,3,5,Executive,4,0,8,0,27,6,1,2,Single,18597
5110182,0,26,Rarely,Analytics,24,Statistics,Female,60,3,4,Executive,2,1,1,0,27,3,0,2,M,17886
5110183,0,47,No,Analytics,1,CA,F,68,3,4,Senior Manager,4,0,0,0,23,14,5,12,Married,26957
5110184,0,25,Rarely,Analytics,3,Other,Male,57,3,5,Executive,3,1,6,1,24,7,0,,M,18977
5110185,0,59,Rarely,Analytics,12,CA,Female,77,4,5,Executive,4,0,5,1,26,10,1,1,Married,19346
5110186,0,30,Yes,Analytics,1,CA,Female,58,3,3,Manager,1,0,1,0,28,12,3,,Single,19011
5110187,0,36,Rarely,Sales,3,CA,Male,61,4,4,Senior Manager,3,0,1,0,18,10,9,0,Married,
5110188,0,25,Rarely,Sales,4,Other,Male,68,3,5,Manager,5,0,1,1,23,5,0,3,Divorsed,19194
5110189,0,22,No,Analytics,27,Other,Female,55,4,3,Executive,3,0,1,1,19,4,1,3,M,17814
5110190,1,39,Rarely,Sales,4,CA,Female,41,3,5,Manager,3,1,4,1,23,12,0,0,Married,20238
5110191,1,55,Rarely,Sales,14,Marketing Diploma,Male,55,1,4,AVP,3,0,6,1,22,24,3,8,Single,28695
5110192,0,37,No,Analytics,26,CA,Female,72,3,4,Manager,3,1,3,1,20,15,10,7,Divorsed,19449
5110193,0,46,Rarely,Analytics,8,CA,Male,75,3,3,Senior Manager,3,1,6,0,18,13,0,7,Married,25845
5110194,0,44,Rarely,Analytics,1,CA,Male,,3,1,Executive,1,1,6,1,17,6,1,2,Single,17436
5110195,0,28,Rarely,Sales,27,Statistics,Male,48,4,4,Manager,5,0,1,0,16,5,0,4,Divorsed,19724
5110196,1,50,Yes,Sales,1,Other,Male,51,3,2,Manager,3,1,3,1,19,5,0,0,Single,19728
5110197,0,47,Rarely,Sales,7,Marketing Diploma,F,35,4,5,VP,4,0,3,0,20,27,1,9,Divorsed,34789
5110198,0,50,Rarely,Analytics,10,Statistics,Male,,3,2,Executive,1,0,4,0,23,8,0,0,M,17380
5110199,0,26,Rarely,Sales,30,CA,Male,45,3,4,Manager,3,1,5,0,17,8,0,0,Married,19306
5110200,0,38,Yes,Marketing,1,Other,Male,58,3,1,Executive,4,0,0,1,16,7,1,2,M,17991
5110201,0,31,Rarely,Analytics,,Statistics,Male,42,4,4,Executive,4,1,0,1,21,3,2,2,Single,17657
5110202,1,,No,Analytics,10,CA,Male,,4,2,Executive,5,0,0,1,27,4,1,2,Single,
5110203,0,57,Rarely,Analytics,10,Statistics,Male,51,5,5,Senior Manager,1,0,5,0,,38,1,3,Single,23260
5110204,0,33,Rarely,Analytics,6,CA,F,65,3,3,Manager,5,1,2,0,,9,7,4,Married,22725
5110205,0,32,Rarely,Analytics,1,Statistics,Male,66,3,5,Manager,4,1,1,0,22,,0,9,Divorsed,21220
5110206,0,41,Rarely,Sales,5,Statistics,F,81,3,3,VP,3,0,1,0,20,22,2,13,Married,34041
5110207,0,37,Rarely,Analytics,12,CA,Female,64,3,2,Executive,3,0,4,0,23,8,0,2,Single,18629
5110208,0,40,Rarely,Sales,3,Marketing Diploma,Female,46,3,4,Manager,4,0,7,0,17,8,1,3,Married,20715
5110209,0,45,Rarely,Analytics,31,Statistics,Male,34,3,3,AVP,5,0,4,0,19,25,15,18,Married,32328
5110210,1,18,Yes,,4,CA,Female,70,3,2,Executive,1,1,1,1,17,0,0,0,Single,16569
5110211,0,44,Rarely,Analytics,9,CA,F,53,4,3,VP,3,0,8,0,19,22,7,15,Married,35392
5110212,0,32,Rarely,Analytics,4,Statistics,F,39,3,1,Senior Manager,2,1,3,0,20,10,7,7,Single,26159
5110213,1,51,Yes,Analytics,9,Statistics,Male,53,5,2,Senior Manager,1,0,2,0,20,18,0,3,Single,25650
5110214,0,31,Rarely,Sales,3,Statistics,Male,54,3,1,Executive,3,1,0,0,24,3,1,2,M,18067
5110215,0,,Rarely,Sales,11,Statistics,Female,,3,2,Executive,3,1,1,1,24,1,0,0,Divorsed,17220
5110216,0,28,No,Analytics,,CA,Male,52,3,5,Executive,1,1,2,0,17,1,1,1,M,17706
5110217,0,41,No,Analytics,8,Statistics,F,55,5,5,VP,3,0,1,0,27,21,5,10,Married,34973
5110218,0,21,Rarely,Sales,23,Engineer,Male,49,3,5,Executive,3,0,1,0,16,3,1,2,Single,18447
5110219,0,30,Rarely,Analytics,9,Statistics,F,73,1,4,Senior Manager,5,0,0,1,17,9,1,7,Divorsed,26416
5110220,1,45,Rarely,Analytics,18,CA,F,75,3,4,Senior Manager,2,0,2,0,17,11,1,6,Divorsed,23978
5110221,0,31,Rarely,Sales,18,Marketing Diploma,Male,66,4,2,Senior Manager,5,0,3,0,,13,2,8,Married,23140
5110222,0,39,No,Analytics,10,Statistics,Male,57,3,5,VP,1,0,2,0,18,21,1,3,Single,34431
5110223,1,35,Rarely,Sales,11,CA,Male,55,4,4,Senior Manager,5,0,9,0,22,15,6,0,Married,25306
5110224,0,41,No,Sales,31,Other,Male,60,5,5,Senior Manager,5,1,4,0,21,21,1,2,Married,26932
5110225,1,57,Rarely,Analytics,10,Engineer,,74,3,3,Executive,3,0,9,0,17,15,10,9,M,18339
5110226,1,58,Rarely,Analytics,24,CA,F,64,3,2,Senior Manager,2,1,1,0,17,40,15,6,Divorsed,25312
5110227,1,25,Rarely,Sales,6,Marketing Diploma,Male,46,4,2,Manager,3,0,1,1,16,6,,3,Single,20744
5110228,0,28,Rarely,Sales,6,CA,Male,68,3,2,Manager,1,0,1,0,19,4,0,2,Single,
5110229,1,26,Rarely,Sales,9,Engineer,Male,38,4,5,Manager,5,1,6,0,22,6,1,2,Single,20326
5110230,0,36,Rarely,Analytics,25,Statistics,F,73,1,3,Senior Manager,4,0,8,0,24,11,7,3,Married,27996
5110231,0,53,Rarely,Sales,6,Marketing Diploma,Male,33,4,4,AVP,5,1,2,0,17,35,2,17,Married,32856
